Course,Enrollment Date (UTC TimeZone),Started Date (UTC TimeZone),Completion Date (UTC TimeZone),Status,Progress %,Time Spent(minutes),Quiz_score,Centre Number,Centre Country,Completion Comment
Exams Officer UK Webinar - 16 January 2025,1/10/25 11:01,,,Not Started,0,0,,68400,UK,
BTEC Tech Award  - Understanding the terminal rule,12/10/24 10:18,12/10/24 10:21,12/10/24 10:21,Completed,100,9.75,,46727,UK,
Exams Officer UK Webinar - 12 December 2024,10/14/24 10:38,,,Not Started,0,0,,10840,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 14:16,,,Not Started,0,0,,10840,UK,
Exams Officer UK Webinar - October 17 2024,10/1/24 13:35,,,Not Started,0,0,,10840,UK,
Learner Work Transfer - January 2024 Session ,10/14/24 10:32,10/14/24 10:32,,In Progress,83.33,153.76,0,10840,UK,
Recording of Exams Officer UK Webinar - January 2025,2/28/25 15:13,2/28/25 15:13,3/18/25 12:40,Completed,100,188.8,,10840,UK,
Recording of Exams Officer UK Webinar - November 2024,2/28/25 14:21,2/28/25 14:21,2/28/25 14:51,Completed,100,171.9,,10840,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 13:54,10/1/24 13:54,10/1/24 14:29,Completed,100,393.07,,10840,UK,
Welcome to Pearson - New to role Exams Officer ,10/1/24 13:36,10/1/24 13:37,12/5/24 11:12,Completed,100,185.99,,10840,UK,
Exams Officer UK Webinar - March 13 2025,2/26/25 14:24,,,Not Started,0,0,,12424,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 10:32,,,Not Started,0,0,,12424,UK,
Recording of VQ Learner Tracking Briefing,1/14/25 13:11,1/14/25 13:12,,In Progress,0,573.9,,71374,UK,
VQ Learner Tracker and Claims Webinar,1/21/25 21:35,,,Not Started,0,0,,71374,UK,
Exams Officer UK Webinar - 12 December 2024,11/19/24 11:55,,,Not Started,0,0,,55938,UK,
Exams Officer UK Webinar - November 14 2024,10/11/24 8:27,,,Not Started,0,0,,55938,UK,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/12/25 5:39,5/12/25 5:39,,In Progress,33.33,2.07,,92621,Kenya,
Recording of the EO International Webinar - 12 December 2024,1/26/25 16:17,1/26/25 16:17,2/11/25 7:31,Completed,100,45.1,,92621,Kenya,
Recording of the EO International Webinar - 13 February 2025,1/26/25 16:15,,,Not Started,0,0,,92621,Kenya,
Recording of the Exams Officer International Webinar - October 24 2024,2/11/25 7:30,2/11/25 7:30,2/11/25 7:30,Completed,100,3.2,,92621,Kenya,
BTEC Tech Award  - Understanding the terminal rule,1/9/25 11:22,1/9/25 11:22,1/9/25 11:22,Completed,100,334.23,,47519,UK,
Exams Officer UK Webinar - March 13 2025,3/12/25 11:00,,,Not Started,0,0,,47519,UK,
Recording of Exams Officer UK Webinar - December 2024,1/13/25 20:00,1/13/25 20:00,,In Progress,0,22.7,,47519,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:32,,,Not Started,0,0,,37233,UK,
International Exams Officer Webinar - 12 December 2024,12/7/24 15:32,,,Not Started,0,0,,95317A,Sri Lanka,
Exams Officer UK Webinar - 12 December 2024,11/5/24 12:04,,,Not Started,0,0,,10583,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:50,,,Not Started,0,0,,10583,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:04,,,Not Started,0,0,,10583,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 0:49,,,Not Started,0,0,,96767,China,
BTEC Bitesize: Intro to BTEC (2024/25),3/12/25 10:41,3/12/25 10:41,3/12/25 10:45,Completed,100,3.08,40,26325,UK,
BTEC Bitesize: Registrations (2024/25),3/12/25 10:31,3/12/25 10:31,3/12/25 10:35,Completed,100,3.73,30,26325,UK,
Centre Declaration of Interest,3/12/25 10:09,3/12/25 10:09,3/12/25 10:09,Completed,100,1.75,,26325,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,4/22/25 9:31,4/22/25 9:32,,In Progress,0,177.12,20,26325,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,3/12/25 10:13,3/12/25 10:13,3/12/25 10:13,Completed,100,1.1,,26325,UK,
Centre Declaration of Interest,10/24/24 10:04,10/24/24 10:04,10/24/24 10:04,Completed,100,5.25,,32242,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:41,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,34322,UK,attended live event
Exams Officer UK Webinar - March 13 2025,2/13/25 13:11,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,58317,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - June 12th 2025,4/28/25 10:23,,,Not Started,0,0,,68685,UK,
GQ Bitesize (UK) Access Arrangements  2024/2025,4/28/25 10:23,,,Not Started,0,0,,68685,UK,
GQ Bitesize (UK) Exam Administration 2024/2025,4/28/25 10:23,4/28/25 10:26,,In Progress,0,77.67,0,68685,UK,
GQ Bitesize (UK) Getting ready for Results 2024/2025,4/28/25 10:23,,,Not Started,0,0,,68685,UK,
Recording of Exams Officer UK Webinar - April 3rd 2025,4/28/25 10:23,,,Not Started,0,0,,68685,UK,
VQ Learner Tracker - How to use the VQ LT and make entries,4/28/25 10:23,,,Not Started,0,0,,68685,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 16:34,,,Not Started,0,0,,64190,UK,
Recording of Making entries for International GCSE's live event - 06 March 2024,12/19/24 12:59,,,Not Started,0,0,,97538,Tunisia,
Recording of the EO International Webinar - 13 February 2025,2/10/25 12:53,2/14/25 9:55,,In Progress,0,125.18,,97538,Tunisia,
Recording of the Exams Officer International Webinar - October 24 2024,12/19/24 12:57,12/19/24 12:57,12/19/24 12:57,Completed,100,3172.27,,97538,Tunisia,
Centre Declaration of Interest,11/29/24 11:48,11/29/24 11:48,11/29/24 11:48,Completed,100,11.97,,23124,UK,
Exams Officer UK Webinar - March 13 2025,2/21/25 10:08,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,58315,UK,Thank you for attending our EO Webinar for March 2025
Recording of the Exams Officer UK Webinar - 13 February 2025,2/4/25 11:11,,,Not Started,0,0,,58315,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/16/25 12:32,,,Not Started,0,0,,,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,5/6/25 5:05,,,Not Started,0,0,,91594,Egypt,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,4/28/25 10:18,4/28/25 10:18,4/28/25 10:18,Completed,100,99.45,,12510,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:15,,,Not Started,0,0,,12510,UK,
VQ Learner Tracker and Claims Webinar,4/28/25 12:55,4/28/25 12:55,4/28/25 12:55,Completed,100,214.47,,12510,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/28/25 10:58,1/28/25 10:59,1/28/25 10:59,Completed,100,12.58,,24270,UK,
Exams Officer UK Webinar - April 3rd 2025,3/23/25 8:27,,,Not Started,0,0,,24270,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:47,,,Not Started,0,0,,24270,UK,
GQ Bitesize (UK) NEA Mark Submission 2024/2025,3/23/25 8:40,,,Not Started,0,0,,24270,UK,
Learner Work Transfer - January 2024 Session ,3/23/25 8:30,,,Not Started,0,0,,24270,UK,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),2/20/24 11:50,10/2/24 13:39,,In Progress,0,10.6,,44331,UK,
BTEC Tech Awards - understanding the terminal rule and certification,10/11/24 12:50,10/11/24 12:50,10/11/24 12:50,Completed,100,70.78,,55133,UK,
Exams Officer UK Webinar - November 14 2024,10/22/24 13:03,,,Not Started,0,0,,55133,UK,
Exams Officer UK Webinar - October 17 2024,10/1/24 9:42,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,55133,UK,
Recording of Exams Officer UK Webinar - September 2024,10/1/24 9:43,10/1/24 9:43,,In Progress,0,0.03,,55133,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 12:12,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,65117,UK,
Centre Declaration of Interest,3/12/25 14:42,3/12/25 14:42,3/12/25 14:42,Completed,100,14.4,,10956,UK,
Exams Officer UK Webinar - April 3rd 2025,4/2/25 7:56,4/3/25 13:32,,In Progress,0,0,5,14539,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/13/25 14:54,,,Not Started,0,0,,14539,UK,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/30/25 21:03,,,Not Started,0,0,,71631,UK,
Exams Officer UK Webinar - September 26 2024,9/25/24 14:41,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,10524,UK,
BTEC Bitesize: Registrations (2024/25),1/28/25 9:30,1/28/25 9:30,,In Progress,0,0,,20563,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 9:16,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,26152,UK,
Exams Officer UK Webinar - March 13 2025,3/13/25 13:52,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,27135,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - September 26 2024,9/13/24 13:07,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,27135,UK,
Recording of Exams Officer UK Webinar - April 3rd 2025,4/8/25 7:46,,,Not Started,0,0,,,Invigilator,
Welcome to Pearson - New to role Exams Officer ,4/8/25 10:53,,,Not Started,0,0,,,Invigilator,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/28/25 13:18,1/28/25 13:18,1/28/25 13:18,Completed,100,479.2,,68510,UK,
GQ Bitesize (International) Making Entries 2024/2025,10/31/24 12:16,,,Not Started,0,0,,,UK,
GQ Bitesize (UK) Entries  2024/2025,10/31/24 12:47,,,Not Started,0,0,,,UK,
Recording of the EO International Webinar - 13 February 2025,2/13/25 3:03,,,Not Started,0,0,,92826,Myanmar,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 2:46,,,Not Started,0,0,,92826,Myanmar,
BTEC Bitesize Module 3: Entries & External Assessments (2023/24),3/19/24 12:56,,,Not Started,0,0,,11058,UK,
BTEC Bitesize Module 4: BTEC Amendments (2023/24) UK centres,1/19/24 10:17,,,Not Started,0,0,,11058,UK,
Exams Officer UK Webinar - October 17 2024,10/9/24 14:54,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,11058,UK,
GQ Bitesize (UK) Module 1: Entries  2023/2024,3/19/24 13:26,9/13/24 9:17,9/13/24 9:26,Completed,100,10.17,30,11058,UK,
GQ Bitesize (UK) Module 3: Access Arrangements  2023/2024,2/29/24 12:06,2/29/24 12:07,,In Progress,0,160.15,0,11058,UK,
Learner Work Transfer - January 2024 Session ,2/29/24 9:26,2/29/24 9:26,,In Progress,0,0.07,,11058,UK,
Recording of Exams Officer UK Webinar - October 2024,10/24/24 13:16,10/24/24 13:16,10/24/24 13:53,Completed,100,67.5,,11058,UK,
Recording of Exams Officer UK Webinar - September 2024,10/9/24 15:04,10/9/24 15:04,10/9/24 15:43,Completed,100,46.95,,11058,UK,
VQ Learner Tracker and Claims Webinar,1/17/25 11:25,1/17/25 11:25,1/17/25 11:25,Completed,100,3.57,,11058,UK,
International Exams Officer Webinar - 12 December 2024,12/10/24 15:43,12/12/24 9:00,12/12/24 10:00,Completed,100,60,,81106,Brazil,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 12:51,,,Not Started,0,0,,81106,Brazil,
Welcome to Pearson - New to role Exams Officer ,5/6/25 11:29,5/6/25 11:29,5/6/25 12:14,Completed,100,288.43,,81106,Brazil,
Exams Officer UK Webinar - 12 December 2024,11/12/24 13:10,,,Not Started,0,0,,46121,UK,
Exams Officer UK Webinar - November 14 2024,11/12/24 12:55,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,46121,UK,
Exams Officer UK Webinar - September 26 2024,9/18/24 9:08,,,Not Started,0,0,,46121,UK,
Recording of Exams Officer UK Webinar - December 2024,12/16/24 13:41,12/16/24 13:41,,In Progress,0,41.23,,46121,UK,
Recording of Exams Officer UK Webinar - January 2025,2/13/25 9:30,2/13/25 9:30,2/13/25 10:00,Completed,100,47.6,,46121,UK,
Recording of Exams Officer UK Webinar - November 2024,11/26/24 8:21,11/26/24 8:21,11/26/24 10:20,Completed,100,139,,46121,UK,
Recording of Exams Officer UK Webinar - October 2024,11/26/24 10:41,11/26/24 10:41,11/26/24 10:45,Completed,100,325.73,,46121,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/13/25 9:17,,,Not Started,0,0,,46121,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 15:12,,,Not Started,0,0,,64910,UK,
GQ Bitesize (UK) Question Paper Security 2024/2025,1/21/25 12:33,1/21/25 12:33,1/23/25 11:09,Completed,100,28.6,40,40633,UK,
Recording of the EO International Webinar - 13 February 2025,2/12/25 5:51,,,Not Started,0,0,,91994A,United Arab Emirates,
Centre Declaration of Interest,10/24/24 8:25,10/24/24 8:25,10/24/24 8:25,Completed,100,444.77,,55151,UK,
Recording of Making entries for International GCSE's live event - 06 March 2024,1/20/25 8:24,1/20/25 8:24,1/20/25 8:24,Completed,100,128.3,,96781,United Arab Emirates,
Recording of the EO International Webinar - 13 February 2025,2/13/25 4:53,,,Not Started,0,0,,96781,United Arab Emirates,
Recording of the Exams Officer International Webinar - October 24 2024,1/20/25 3:43,1/20/25 3:43,1/20/25 3:43,Completed,100,266.92,,96781,United Arab Emirates,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:27,,,Not Started,0,0,,13329,UK,
Recording of Exams Officer UK Webinar - September 2024,9/30/24 8:09,9/30/24 8:09,,In Progress,0,0.6,,13329,UK,
Exams Officer UK Webinar - March 13 2025,2/28/25 8:26,3/13/25 14:00,3/13/25 15:00,Completed,100,60,,20630,UK,Thank you for attending our EO Webinar for March 2025
Exams Officer UK Webinar - November 14 2024,10/24/24 11:54,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,20630,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 6:52,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,20630,UK,
Exams Officer UK Webinar - September 26 2024,9/19/24 13:53,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,20630,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 8:11,,,Not Started,0,0,,92354,Poland,
Centre Declaration of Interest,3/13/25 0:23,3/13/25 0:23,3/13/25 0:23,Completed,100,0,,91237,Indonesia,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 0:21,,,Not Started,0,0,,91237,Indonesia,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:47,,,Not Started,0,0,,54105A,UK,
Exams Officer UK Webinar - March 13 2025,3/3/25 9:00,,,Not Started,0,0,,31130,UK,
Recording of Exams Officer UK Webinar - March 13 2025,3/17/25 12:40,3/17/25 12:40,3/17/25 12:40,Completed,100,12.68,,28133,UK,
Cohort Declaration walkthrough,12/16/24 12:26,12/16/24 12:26,,In Progress,50,9.63,,20643,UK,
Exams Officer UK Webinar - November 14 2024,11/6/24 8:12,,,Not Started,0,0,,20643,UK,
VQ Learner Tracker and Claims Webinar,12/13/24 11:44,12/13/24 11:44,12/13/24 11:44,Completed,100,0,,20643,UK,
BTEC Tech Awards - understanding the terminal rule and certification,2/5/25 10:04,2/5/25 10:04,2/5/25 10:04,Completed,100,4.43,,,UK,
EO International Webinar - 10th April 2025,4/10/25 8:55,,,Not Started,0,0,,94929,United Arab Emirates,
EO International Webinar - 10th July 2025,4/10/25 8:58,,,Not Started,0,0,,94929,United Arab Emirates,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 10:46,,,Not Started,0,0,,94929,United Arab Emirates,
Centre Declaration of Interest,3/13/25 15:47,3/13/25 15:48,3/13/25 15:48,Completed,100,26.83,,82403,Peru,
Recording of Understanding Modular Cash in Codes and Entries for Pearson International GCSE Live event,5/9/25 20:25,5/9/25 20:25,,In Progress,33.33,86.72,,82403,Peru,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/29/25 16:37,,,Not Started,0,0,,82403,Peru,
Centre Declaration of Interest,3/12/25 14:36,3/12/25 14:36,3/12/25 14:36,Completed,100,25.4,,11020,UK,
BTEC Tech Award  - Understanding the terminal rule,11/27/24 12:40,11/27/24 12:40,11/27/24 12:40,Completed,100,69.37,,20035,UK,
Exams Officer UK Webinar - March 13 2025,3/13/25 13:59,,,Not Started,0,0,,20035,UK,
Exams Officer UK Webinar - November 14 2024,10/29/24 14:01,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,20035,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/12/25 16:26,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,20035,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 14:27,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,12926A,UK,
Recording of the EO International Webinar - 13 February 2025,2/13/25 8:39,,,Not Started,0,0,,92826,Myanmar,
Exams Officer UK Webinar - 16 January 2025,1/9/25 12:44,,,Not Started,0,0,,20137,UK,
Exams Officer UK Webinar - April 3rd 2025,3/19/25 9:09,,,Not Started,0,0,,20137,UK,
Recording of Exams Officer UK Webinar - January 2025,1/17/25 12:40,1/17/25 12:40,1/17/25 14:02,Completed,100,101.5,,20137,UK,
VQ Learner Tracker and Claims Webinar,12/11/24 13:15,12/11/24 13:16,12/11/24 13:16,Completed,100,89.55,,20137,UK,
BTEC Bitesize Module 5: Modified Papers (2023/24) UK centres,3/19/24 13:13,3/19/24 13:13,9/30/24 11:14,Completed,100,42.2,40,32200,UK,
BTEC Bitesize Module 8: Question Paper Security (2023/24),3/18/24 15:43,3/18/24 15:43,,In Progress,0,1289.9,0,32200,UK,
Bitesize Training - Pearson Onscreen Platform (POP Offline & Online) (2023/24),3/18/24 13:38,3/18/24 13:38,3/18/24 14:09,Completed,100,31.4,30,32200,UK,
Recording of Exams Officer UK Webinar - November 2024,11/28/24 16:31,11/28/24 16:31,,In Progress,0,2,,32200,UK,
Exams Officer UK Webinar - 12 December 2024,11/25/24 7:26,,,Not Started,0,0,,10330,UK,
Exams Officer UK Webinar - November 14 2024,11/8/24 7:50,,,Not Started,0,0,,10330,UK,
Exams Officer UK Webinar - September 26 2024,9/23/24 7:45,,,Not Started,0,0,,10330,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,2/4/25 12:50,,,Not Started,0,0,,37084A,UK,
Exams Officer UK Webinar - 16 January 2025,1/13/25 9:56,,,Not Started,0,0,,68566,UK,
Exams Officer UK Webinar - March 13 2025,1/13/25 10:11,,,Not Started,0,0,,68566,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/13/25 10:09,,,Not Started,0,0,,68566,UK,
Understanding Modular Cash in Codes and Entries for Pearson International GCSE,4/30/25 3:16,,,Not Started,0,0,,95524,China,
Recording of the EO International Webinar - 13 February 2025,2/12/25 6:57,,,Not Started,0,0,,94564,Sri Lanka,
BTEC Tech Awards - understanding the terminal rule and certification,10/22/24 8:44,10/22/24 8:44,10/22/24 8:44,Completed,100,16.7,,58419,UK,
Exams Officer UK Webinar - November 14 2024,10/22/24 8:42,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,58419,UK,
Recording of Exams Officer UK Webinar - October 2024,10/22/24 8:42,10/22/24 8:42,,In Progress,0,1.2,,58419,UK,
Cohort Declaration walkthrough,9/23/24 20:18,9/23/24 20:18,,In Progress,50,13.15,1,61865,UK,
Recording of Exams Officer UK Webinar - April 3rd 2025,4/15/25 12:47,4/15/25 12:47,,In Progress,50,0.27,,61865,UK,
Recording of the Exams Officer International Webinar - October 24 2024,4/23/25 9:38,4/23/25 9:38,4/23/25 9:38,Completed,100,0.82,,91272,Spain,
Recording of the EO International Webinar - 12 December 2024,1/5/25 23:39,1/5/25 23:39,1/5/25 23:39,Completed,100,0.5,,94607,Malaysia,
Recording of the EO International Webinar - 13 February 2025,2/10/25 1:09,,,Not Started,0,0,,94607,Malaysia,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 16:04,1/29/25 16:04,1/29/25 16:04,Completed,100,1.37,,23392,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 9:29,,,Not Started,0,0,,42317,UK,
Exams Officer UK Webinar - March 13 2025,2/13/25 7:47,,,Not Started,0,0,,42317,UK,
Exams Officer UK Webinar - September 26 2024,9/20/24 13:35,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,22125,UK,
BTEC Tech Award  - Understanding the terminal rule,2/4/25 15:48,2/4/25 15:48,2/4/25 15:48,Completed,100,6.07,,10554,UK,
Exams Officer UK Webinar - April 3rd 2025,3/3/25 15:18,,,Not Started,0,0,,10554,UK,
Exams Officer UK Webinar - May 1st 2025,4/2/25 13:48,,,Not Started,0,0,,10554,UK,
Welcome to Pearson - New to role Exams Officer ,9/27/24 12:49,9/27/24 12:49,,In Progress,7.14,8.27,,10554,UK,
Centre Declaration of Interest,10/24/24 10:41,10/24/24 10:41,10/24/24 10:41,Completed,100,5.28,,48257,UK,
EO International Webinar - 10th April 2025,4/7/25 7:54,,,Not Started,0,0,,98034,Georgia,
Recording of the Exams Officer International Webinar - October 24 2024,11/18/24 5:56,11/18/24 5:57,11/18/24 5:57,Completed,100,115.18,,98034,Georgia,
Welcome to Pearson - New to role Exams Officer ,5/21/24 8:25,5/21/24 8:25,,In Progress,35.71,5.07,,12099,UK,
GQ Bitesize (UK) Amendments & Eligibility  2024/2025,12/11/24 13:53,12/11/24 13:53,,In Progress,0,0.12,0,,UK,
GQ Bitesize (UK) Entries  2024/2025,10/31/24 12:47,,,Not Started,0,0,,,UK,
GQ Bitesize (UK) Getting ready for Results 2024/2025,10/31/24 12:36,12/11/24 14:00,,In Progress,0,162.82,,,UK,
GQ Bitesize (UK) Understanding your Results 2024/2025,10/31/24 12:34,,,Not Started,0,0,,,UK,
Recording of Exams Officer UK Webinar - September 2024,10/10/24 16:17,10/10/24 16:17,10/17/24 15:43,Completed,100,2452.55,,37214,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,12/12/24 11:25,,,Not Started,0,0,,37214,UK,
Exams Officer UK Webinar - 12 December 2024,11/22/24 15:49,,,Not Started,0,0,,13152,UK,
Exams Officer UK Webinar - 16 January 2025,1/13/25 15:57,,,Not Started,0,0,,13152,UK,
Exams Officer UK Webinar - November 14 2024,11/5/24 12:58,,,Not Started,0,0,,13152,UK,
Welcome to Pearson - New to role Exams Officer ,11/5/24 12:59,,,Not Started,0,0,,13152,UK,
Centre Declaration of Interest,3/19/25 8:26,3/19/25 8:26,3/19/25 8:26,Completed,100,3.85,,91609,Oman,
Recording of the EO International Webinar - 12 December 2024,1/10/25 15:42,1/10/25 15:42,,In Progress,0,0.73,,91609,Oman,
BTEC cohort declaration and VQ Learner Tracker Recording December 24,1/29/25 18:31,1/29/25 18:28,1/29/25 18:28,Completed,100,170.62,,65428,UK,
Centre Declaration of Interest,6/19/24 8:55,6/19/24 8:55,6/19/24 8:55,Completed,100,3.9,,65325,UK,
Recording of Exams Officer UK Webinar - December 2024,1/9/25 13:04,1/9/25 13:04,1/9/25 13:05,Completed,100,0.87,,36524,UK,
Exams Officer UK Webinar - 12 December 2024,12/10/24 11:29,,,Not Started,0,0,,10171,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 10:59,,,Not Started,0,0,,41284,UK,
Welcome to Pearson - New to role Exams Officer ,3/19/24 12:54,,,Unenrolled,0,0,,12642,UK,
Exams Officer UK Webinar - September 26 2024,9/26/24 12:59,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,10524,UK,
Exams Officer UK Webinar - November 14 2024,11/7/24 12:13,,,Not Started,0,0,,63458,UK,
Recording of Exams Officer UK Webinar - October 2024,11/12/24 14:01,11/12/24 14:03,11/12/24 14:42,Completed,100,44.48,,63458,UK,
Recording of Exams Officer UK Webinar - September 2024,11/7/24 12:22,11/7/24 12:24,11/7/24 14:50,Completed,100,167.72,,63458,UK,
Centre Declaration of Interest,10/18/24 10:20,10/18/24 10:20,10/18/24 10:20,Completed,100,181.67,,20033,UK,
Exams Officer UK Webinar - 16 January 2025,1/13/25 9:41,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,20033,UK,Attended live event
Exams Officer UK Webinar - November 14 2024,11/5/24 12:04,11/14/24 14:00,11/14/24 15:00,Completed,100,60,,20033,UK,
Exams Officer UK Webinar - October 17 2024,10/3/24 14:15,10/17/24 13:00,10/17/24 14:00,Completed,100,60,,20033,UK,
GQ Bitesize (UK) Module 10: Post-Results Services 2023/2024,10/18/24 9:58,10/18/24 9:59,10/18/24 10:16,Completed,100,17.47,30,20033,UK,
ResultsPlus: Accessing individual student results,10/18/24 13:23,10/18/24 13:23,10/18/24 13:27,Completed,100,8.83,,20033,UK,
Welcome to Pearson - New to role Exams Officer ,10/22/24 8:58,,,Not Started,0,0,,20033,UK,
Exams Officer UK Webinar - April 3rd 2025,4/1/25 8:01,,,Not Started,0,0,,12758,UK,
Exams Officer UK Webinar - 12 December 2024,10/24/24 7:02,,,Not Started,0,0,,13337,UK,
Exams Officer UK Webinar - 16 January 2025,1/10/25 8:01,,,Not Started,0,0,,13337,UK,
Exams Officer UK Webinar - May 1st 2025,4/28/25 8:34,,,Not Started,0,0,,13337,UK,
Exams Officer UK Webinar - November 14 2024,10/24/24 7:00,,,Not Started,0,0,,13337,UK,
Exams Officer UK Webinar - October 17 2024,10/10/24 12:57,,,Not Started,0,0,,13337,UK,
Recording of VQ Learner Tracking Briefing,1/28/25 15:21,1/28/25 15:21,1/28/25 15:21,Completed,100,1331.42,,13337,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/28/25 14:50,,,Not Started,0,0,,13337,UK,
Exams Officer UK Webinar - 16 January 2025,1/9/25 13:49,1/16/25 14:00,1/16/25 15:00,Completed,100,60,,57335,UK,Attended live event
Exams Officer UK Webinar - April 3rd 2025,4/2/25 15:10,,,Not Started,0,0,,57335,UK,
Exams Officer UK Webinar - March 13 2025,1/9/25 13:52,,,Not Started,0,0,,57335,UK,
Recording of the Exams Officer UK Webinar - 13 February 2025,1/9/25 13:51,2/13/25 14:00,2/13/25 15:00,Completed,0,60,,57335,UK,
International GQ Bitesize  Module 1: Introduction 2023/2024,1/31/24 8:45,2/9/24 14:12,2/9/24 15:15,Completed,100,63.2,40,96697,Gibraltar,
International GQ Bitesize  Module 2: Entries 2023/2024,1/31/24 8:39,1/31/24 8:40,2/9/24 16:03,Completed,100,0.58,30,96697,Gibraltar,
Exams Officer UK Webinar - 16 January 2025,1/10/25 18:04,,,Not Started,0,0,,12426,UK,
Exams Officer UK Webinar - September 26 2024,9/23/24 8:19,9/26/24 13:00,9/26/24 14:00,Completed,100,60,,12426,UK,
BTEC & GQ Bitesize - Appeals overview for centres (2023/24),1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
BTEC Bitesize Module 13: Post-Results Services (2023/24),1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
BTEC Bitesize: Intro to BTEC (2024/25),1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
BTEC Bitesize: Registrations (2024/25),1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
EO International Webinar - 10th April 2025,1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
EO International Webinar - 10th July 2025,1/28/25 16:22,,,Not Started,0,0,,94483,United Arab Emirates,
GQ/BTEC Bitesize (International) Modified Papers 2024/2025,1/28/25 16:22,1/28/25 16:33,1/28/25 16:34,Completed,100,2.47,40,94483,United Arab Emirates,
